name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC100642282,LOC100642282,51,66,67,38,66,67,104
LOC100650881,LOC100650881,197,271,234,228,247,274,290
LOC100648393,LOC100648393,59,71,55,24,72,45,46
LOC125385091,LOC125385091,4,9,15,11,13,22,10
LOC100649690,LOC100649690,26,37,28,22,41,50,8
LOC100647181,LOC100647181,268,280,153,286,200,375,215
LOC100651002,LOC100651002,38,32,14,38,50,38,45
LOC100652276,LOC100652276,25,10,9,17,6,24,123
LOC100646140,LOC100646140,35,37,27,18,37,99,74
LOC100643321,LOC100643321,14,23,52,26,22,38,41
LOC100644603,LOC100644603,26,55,34,19,45,50,25
LOC105665793,LOC105665793,0,6,0,0,0,0,0
LOC100649805,LOC100649805,0,16,16,0,8,70,18
LOC105665792,LOC105665792,0,2,0,0,1,0,0
LOC105665791,LOC105665791,0,0,0,0,0,0,1
LOC100648860,LOC100648860,14,25,13,10,31,19,100
LOC100647728,LOC100647728,12,34,8,10,22,21,30
LOC100644518,LOC100644518,173,268,58,64,222,183,186
LOC125385151,LOC125385151,0,0,0,0,0,0,0
LOC125385152,LOC125385152,0,0,0,0,0,0,0
LOC125385153,LOC125385153,0,0,0,0,0,0,0
LOC125385194,LOC125385194,0,0,0,2,0,0,10
LOC100645077,LOC100645077,3,8,26,2,10,38,12
LOC100644397,LOC100644397,0,0,0,0,0,4,2
LOC100644288,LOC100644288,138,131,150,88,109,298,37
LOC100644168,LOC100644168,0,0,0,0,0,0,2
LOC100642841,LOC100642841,16,8,0,0,16,0,0
LOC100644054,LOC100644054,0,0,0,0,0,0,0
LOC110119315,LOC110119315,0,0,0,0,0,0,0
LOC125385083,LOC125385083,2,6,0,0,0,2,0
LOC100647897,LOC100647897,12,6,2,5,10,6,1
LOC105665789,LOC105665789,2,0,0,0,0,0,0
LOC100646702,LOC100646702,35,54,66,40,75,87,60
